lon_ev,lat_ev,id-ev,lon-quarry,lat-quarry
-8.79151,51.85469,dias2014qtrk,-8.805961,51.8504
-6.6021,54.95688,dias2014gyaw,-6.612732,54.969
-6.61164,54.8046,dias2014xfzi,-6.604856,54.8175
-6.77787,55.05133,dias2013tlfz,-6.784343,55.0643
-7.43027,55.10579,dias2013rtkg,-7.440131,55.1163
-7.20236,55.24442,dias2014thky,-7.205738,55.2586
-7.87524,54.97731,dias2014glhq,-7.890135,54.9783
-8.08593,54.59616,dias2014bnlu,-8.090259,54.6118
-7.83253,55.07967,dias2013tqwf,-7.820291,55.0721
-5.91915,54.41151,dias2013vddj,-5.907264,54.4208
-6.2385,54.369,dias2014qsae,-6.231042,54.3568
-5.87851,54.50248,dias2014rijq,-5.863787,54.4958
-5.86129,54.51025,dias2014tebf,-5.863787,54.4958
-5.91296,54.51023,dias2014rglk,-5.927785,54.5042
-5.79724,54.57044,dias2014eptj,-5.784454,54.5628
-5.76054,54.63342,dias2014wgke,-5.760448,54.6175
-6.41558,53.29358,dias2013pmzx,-6.403263,53.3019
-6.38873,53.29712,dias2014pxyo,-6.403263,53.3019
-6.38901,53.30228,dias2014wvbv,-6.403263,53.3019
-6.40665,53.28775,dias2014xuqx,-6.403263,53.3019
-6.18042,53.44637,dias2014domx,-6.192666,53.4363
-6.17772,53.43754,dias2014hznr,-6.192666,53.4363
-6.17874,53.44055,dias2014wthh,-6.192666,53.4363
-6.31759,53.40809,dias2014fnqy,-6.332346,53.4044
-6.33423,53.41925,dias2014thrp,-6.332346,53.4044
-6.31653,53.40162,dias2014wgmv,-6.332346,53.4044
-7.38306,54.24218,dias2014fpmn,-7.382784,54.2267
-7.65635,54.51592,dias2013rtld,-7.642142,54.5191
-7.42141,54.28499,dias2014vdfb,-7.420641,54.2689
-7.68689,54.38303,dias2014hxrm,-7.692768,54.3701
-7.70843,54.36965,dias2014khyb,-7.692768,54.3701
-8.87216,53.30719,dias2014yhjv,-8.857801,53.3041
-8.95388,53.49705,dias2013oahy,-8.951628,53.4814
-8.95214,53.49734,dias2014xrak,-8.951628,53.4814
-8.94436,53.41735,dias2014thps,-8.930185,53.4099
-8.82768,53.58668,dias2014jkcr,-8.813094,53.5902
-8.78796,53.10595,dias2014mgrr,-8.786076,53.0899
-9.2633,53.41612,dias2014rgrd,-9.266468,53.4017
-6.85083,53.22943,dias2013tycc,-6.865248,53.231
-6.86673,53.21676,dias2013wtgf,-6.865248,53.231
-7.164,52.61252,dias2014cadp,-7.178395,52.6166
-7.18817,52.58959,dias2013tsrq,-7.200083,52.5985
-7.18763,52.59055,dias2014nimz,-7.200083,52.5985
-7.08338,52.35165,dias2014rlvo,-7.090486,52.3375
-8.21243,54.32023,dias2013tnab,-8.228032,54.3226
-8.38498,52.61882,dias2014oymj,-8.389578,52.6046
-8.7157,52.65133,dias2014kyis,-8.703378,52.6437
-6.35626,53.81303,dias2014tulf,-6.362562,53.7981
-6.392,53.69579,dias2013mxiu,-6.397679,53.6828
-6.40582,53.69476,dias2014nere,-6.397679,53.6828
-6.40027,53.69805,dias2014qtvo,-6.397679,53.6828
-6.39162,53.69615,dias2014sgfd,-6.397679,53.6828
-6.38894,53.69595,dias2014utzk,-6.397679,53.6828
-6.38375,53.68617,dias2014vrus,-6.397679,53.6828
-6.38636,53.69384,dias2014weoy,-6.397679,53.6828
-9.28839,53.86561,dias2014ohxw,-9.273528,53.8605
-9.30886,53.55487,dias2013sgiq,-9.296089,53.5469
-9.22676,54.19661,dias2013kzzd,-9.242224,54.1939
-7.12896,53.7329,dias2013tzsi,-7.115949,53.7247
-7.12648,53.73648,dias2014ojna,-7.115949,53.7247
-7.11289,53.73967,dias2014xuiz,-7.115949,53.7247
-6.84192,53.44511,dias2013vkmf,-6.856989,53.4426
-6.73771,53.94125,dias2014exdz,-6.722476,53.9377
-6.93032,54.23725,dias2014rrpr,-6.937212,54.2232
-6.95024,54.23049,dias2014tskr,-6.937212,54.2232
-7.25065,54.12234,dias2014oyji,-7.241805,54.1099
-7.88893,53.13562,dias2014uonq,-7.876688,53.1267
-8.26035,53.97799,dias2014cmzv,-8.25619,53.9626
-8.24382,53.97089,dias2014gzwp,-8.25619,53.9626
-8.19209,53.7008,dias2014seiq,-8.184401,53.6887
-8.18805,53.56802,dias2014minh,-8.184939,53.5524
-7.95636,52.4881,dias2014wnoz,-7.966969,52.4759
-7.67806,52.73512,dias2013tsvp,-7.675732,52.7507
-8.07056,52.46988,dias2013lmtr,-8.083588,52.477
-7.46262,54.73466,dias2014nerw,-7.44811,54.7412
-6.77373,54.61929,dias2013ryvu,-6.758108,54.6171
-6.74673,54.60609,dias2014jlzm,-6.758108,54.6171
-6.75115,54.62958,dias2014xhtr,-6.758108,54.6171
-6.07066,54.41416,dias2014enzy,-6.078039,54.4017
-6.09383,54.40411,dias2014mgsn,-6.078039,54.4017
-6.06365,54.40068,dias2014xqxt,-6.078039,54.4017
-7.39122,54.3872,dias2013qznd,-7.378597,54.3797
-7.38051,54.39442,dias2014ekhh,-7.378597,54.3797
-7.32887,53.75988,dias2014tjhk,-7.319745,53.7487
-7.15189,53.43834,dias2014hvwp,-7.138017,53.4341
-7.15215,53.43655,dias2014ntiv,-7.138017,53.4341
-7.15229,53.42665,dias2014seln,-7.138017,53.4341
-6.32387,52.65096,dias2014rcxl,-6.334173,52.6619
-9.03649,51.81693,dias2013tsow,-9.052509,51.81429
-6.50605,54.08518,dias2013ohzi,-6.517671,54.076805
-6.06776,54.82782,dias2014weot,-6.050479,54.8313
-5.90432,54.82022,dias2013yhgi,-5.888429,54.8127
-5.90134,54.80085,dias2014lfkw,-5.888429,54.8127
-5.88882,54.79599,dias2014wtdi,-5.888429,54.8127
-6.7384,54.26247,dias2014lmuw,-6.73084,54.2469
-6.6568,54.40617,dias2014lfmu,-6.651767,54.38879
-6.56686,54.24212,dias2013srfl,-6.582737,54.2381
-6.56592,54.24326,dias2014xnjq,-6.582737,54.2381
-6.96696,52.80117,dias2014inze,-6.983031,52.7964
-6.96491,52.79389,dias2014uvsg,-6.983031,52.7964
-6.90187,53.95382,dias2014hbvp,-6.892127,53.9391
-7.04295,53.89739,dias2014imcd,-7.025951,53.8922
-7.21459,53.94947,dias2013phjf,-7.198614,53.9418
-7.69683,54.19095,dias2013kzxr,-7.69394,54.1742
-7.68949,54.19091,dias2013owng,-7.69394,54.1742
-7.69871,54.1901,dias2014thin,-7.69394,54.1742
-7.70564,54.1883,dias2014vpue,-7.69394,54.1742
-8.63685,52.73452,dias2014tdwj,-8.65228,52.7292
-9.05663,52.90088,dias2013kwks,-9.038942,52.8995
-8.78973,51.85149,dias2014xeei,-8.805961,51.8504
-8.13318,51.88914,dias2014gwfo,-8.140635,51.9043
-6.97318,54.89422,dias2014useg,-6.955925,54.8967
-6.78368,55.04719,dias2013pzss,-6.784343,55.0643
-8.29867,55.0205,dias2013twdr,-8.313617,55.012
-8.29667,55.01217,dias2014qizx,-8.313617,55.012
-7.21524,55.27288,dias2014gwcc,-7.205738,55.2586
-7.8742,54.97129,dias2014pfwz,-7.890135,54.9783
-7.83495,55.07966,dias2013mtqd,-7.820291,55.0721
